,Title,Company,Experience,Location,Pay,Description
3264,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
3265,Business Intelligence Analyst,Franklin Templeton International,2-6 Yrs,Hyderabad,Not disclosed,Data management Process improvement Analytical Workflow VB Macros Information technology Analytics
3266,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
3267,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
3268,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
3269,Sr IT Business Analyst,Motorola Solutions,5-8 Yrs,Bengaluru(Manayata Tech Park),"8,50,000 - 14,00,000 PA.",Enterprise Architecture Data Quality Cloud Computing Data Analysis agile Data Architecture Tableau JIRA
3270,Business Analyst,Think and Learn Private Limited,2-4 Yrs,Bengaluru(Bhavani Nagar),Not disclosed,primary research secondary research business modeling advanced excel presentation skills business analysis international business market research
3271,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
3272,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3273,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
3274,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
3275,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
3276,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
3277,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3278,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3279,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
3280,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
3281,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3282,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3283,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
3284,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
3285,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
3286,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3287,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
3288,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
3289,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
3290,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
3291,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3292,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3293,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
3294,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
3295,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
3296,Business Analyst (General Insurance),Edelweiss Financial Services Limited.,4-9 Yrs,Mumbai(Vidya Vihar West),"7,00,000 - 12,00,000 PA.",General Insurance Brd Project Documentation Business Process Test Planning UAT Policy Issuance System Integration
3297,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
3298,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3299,Wipro is Hiring For Business Analyst,WIPRO HR SERVICES INDIA PVT LTD,2-4 Yrs,Gurgaon,Not disclosed,Business Analysis
3300,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3301,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
3302,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3303,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3304,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
3305,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3306,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
3307,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3308,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
3309,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3310,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3311,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
3312,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3313,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
3314,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
3315,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
3316,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
3317,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3318,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
3319,RPA Business Analyst I Teksystems,Allegis Services India Pvt. Ltd.,3-6 Yrs,Bengaluru(Marathahalli +1),Not disclosed,rpa computer science information technology Business Analyst computer application documentation business analysis mca
3320,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
3321,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
3322,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3323,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3324,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
